"a";"b";"c";"d";"answer";"question";"subject_id"
"consistency check";"Syntax check";"Range check";"All of the above";"B";"Which, of the following checks, cannot be carried out on the input data to a system?";1
"Compiler";"Debugger";"Editor";"All of the above";"A";"A program that converts a high-level language program to a set of instructions that can run on a computer is called a";1
"resource management";"error recovery";"memory management";"All the above";"D";"Which of the following is characteristic of an operating system?";1
"Drive";"Spooler";"Interpreter";"Linkage editor";"B";"Special software to create a job queue is called a";1
"main storage";"primary storage";"floppy disk";"disk drive";"B";"All the time a computer is switched on, its operating system software has to stay in";1
"increased throughput";"shorter response time";"decreased operating-system overhead";"ability to assign priorities to jobs";"C";"Which of the following is not an advantage of multiprogramming?";1
"is a method of memory allocation by which the program is subdivided into equal portions, or pages and core is subdivided into equal portions or blocks.";"consists of those addresses that may be generated by a processor during execution of a computation.";"is a method of allocating processor time.";"allows multiple programs to reside in separate areas of core at the time.";"B";"Virtual Memory";1
"are very easy to implement";"dispatch tasks according to execution characteristics";"are used to favor real-time tasks";"require manual intervention to implement properly";"B";"Feed back queue";1
"MS DOS";"OS/2";"UNIX";"All of the above";"D";"Can you name of the major Operating System used in computers?";1
"absolute mode";"immediate mode";"indirect mode";"index mode";"B";"In which addressing mode the operand is given explicitly in the instruction?";1
"time sharing";"time out";"time domain";"FIFO";"A";"The technique, for sharing the time of a computer among several jobs. Which switches jobs so rapidly such that each job appears to have the computer to itself:";1
"requires detailed system performance information";"is independent of the operating system";"does not depend on the monitoring tools available";"is not needed in small installations";"B";"Capacity planning";1
"periods";"sectors";"zones";"groups";"B";"In a magnetic disk, data is recorded in a set of concentric tracks which are subdivided into";1
"latency";"latency plus transmission time";"latency plus seek time";"latency plus seek time plus transmission time";"C";"The total time to prepare a disk drive mechanism for a block of data to be read from it is";1
"semaphores";"directory";"critical section";"mutual exclusion";"C";"Part of a program where the shared memory is accessed and which should be executed invisibly is called";1
"These charts are type of graphical design tool";"These charts cannot represent CASE constructs";"These charts can represent three fundamental control structures";"All of the above";"B";"Indicate which, of the following, is not true about Nassi-Shneiderman charts";1
"Batch system";"Quick response system";"Real time system";"Time sharing system";"C";"What is the name of the operating system that reads and reacts in terms of actual time.";1
"absolute mode";"immediate mode";"index mode";"modulus mode";"A";"In which addressing mode, the address of the location of the operand is given explicitly as a part of the instruction.";1
"a single program is processed by two or more CPUs";"two or more programs are stored concurrently in primary storage";"only the active pages of a program are stored in primary storage";"interprogram interference may occur";"C";"Under virtual storage,";1
"allows the programmer to write base registers and displacements explicitly in the source program.";"is used to remember which of the general-purpose registers are currently available as base registers, and what base addresses they contain.";"allows multiple programs to reside in separate areas of core at the same time.";"is a term that refers to the control programs of an operating system.";"B";"A base register table";1
